[2023-03-04 20:03:41.071662] 690123872674119710 | Deutscher 775 | Refused
[2023-03-04 20:03:55.082952] 690123872674119710 | Deutscher 775 | Refused
[2023-03-04 20:04:16.538121] 690123872674119710 | Deutscher 775 | Refused
[2023-03-04 20:04:55.763693] 690123872674119710 | Deutscher 775 | Refused
[2023-03-04 20:05:57.603213] 690123872674119710 | Deutscher 775 | Refused
[2023-03-04 20:07:03.544334] 690123872674119710 | Deutscher 775 | Refused
[2023-03-05 15:50:20.625094] 690123872674119710 | Deutscher 775 | Granted
[2023-03-05 15:51:18.211697] 690123872674119710 | Deutscher 775 | Granted
[2023-03-05 15:51:55.179945] 690123872674119710 | Deutscher 775 | Granted
[2023-03-05 15:52:08.759402] 690123872674119710 | Deutscher 775 | Granted
[2023-03-05 16:14:43.746163] 690123872674119710 | Deutscher 775 | Granted
[2023-03-05 19:56:35.104790] 690123872674119710 | Deutscher 775 | Granted
[2023-03-05 19:57:00.992751] 690123872674119710 | Deutscher 775 | Granted
